RAL Code,LRV
150 30 10,"10,00"
150 30 20,"9,85"
150 30 30,"9,35"
150 40 10,"14,43"
150 40 20,"14,64"
150 40 30,"14,12"
150 40 40,"14,04"
150 40 50,"14,11"
150 50 10,"20,78"
150 50 20,"21,06"
150 50 30,"20,97"
150 50 40,"21,69"
150 50 50,"21,30"
150 50 60,"21,31"
150 60 10,"30,82"
150 60 20,"30,89"
150 60 30,"30,42"
150 60 40,"30,52"
150 60 50,"31,44"
150 60 60,"29,87"
150 70 10,"42,61"
150 70 20,"43,46"
150 70 30,"43,89"
150 70 40,"43,22"
150 70 50,"42,92"
150 80 10,"58,65"
150 80 20,"58,62"
150 80 30,"58,81"
150 80 40,"59,30"
150 85 05,"65,93"
150 85 10,"66,62"
150 85 20,"67,03"
150 90 05,"76,13"
150 90 10,"78,14"
150 93 05,"83,01"
160 20 05,"6,66"
160 20 10,"6,51"
160 20 15,"6,24"
160 20 20,"6,06"
160 30 05,"9,55"
160 30 10,"9,59"
160 30 15,"9,25"
160 30 20,"9,00"
160 30 25,"9,00"
160 30 30,"9,17"
160 30 35,"9,02"
160 30 38,"9,04"
160 40 05,"14,51"
160 40 10,"14,10"
160 40 15,"14,14"
160 40 20,"13,93"
160 40 25,"13,70"
160 40 30,"13,89"
160 40 35,"13,97"
160 40 40,"14,16"
160 40 45,"13,46"
160 40 50,"13,57"
160 40 55,"13,94"
160 50 05,"21,16"
160 50 10,"20,66"
160 50 15,"20,95"
160 50 20,"21,03"
160 50 25,"20,79"
160 50 30,"21,03"
160 50 35,"21,16"
160 50 40,"20,82"
160 50 45,"21,45"
160 50 50,"20,72"
160 50 55,"21,32"
160 50 60,"20,57"
160 60 05,"30,54"
160 60 10,"29,90"
160 60 15,"30,64"
160 60 20,"30,06"
160 60 25,"29,96"
160 60 30,"30,10"
160 60 35,"30,89"
160 60 40,"30,13"
160 60 45,"30,73"
160 60 50,"30,19"
160 60 55,"29,50"
160 60 58,"29,97"
160 70 05,"42,96"
160 70 10,"42,23"
160 70 15,"41,89"
